Date,Timestamp,Open,High,Low,Close,Volume
20040213,16:00:00,6.419,6.585,6.319,6.449,28.75000043
20040215,20:00:00,6.505,6.505,6.413,6.449,0.200000003
20040216,0:00:00,6.433,6.557,6.391,6.454,5.700000085
20040216,4:00:00,6.426,6.534,6.379,6.53,3.550000053
20040216,8:00:00,6.49,6.572,6.389,6.446,7.700000115
20040216,12:00:00,6.431,6.569,6.326,6.464,9.300000139
20040216,16:00:00,6.503,6.566,6.404,6.467,0.400000006
20040216,20:00:00,6.515,6.515,6.423,6.459,0.400000006
20040217,0:00:00,6.495,6.63,6.395,6.564,12.55000019
20040217,4:00:00,6.537,6.66,6.41,6.572,15.00000022
20040217,8:00:00,6.477,6.668,6.425,6.599,11.35000017
20040217,12:00:00,6.51,6.764,6.415,6.672,68.45000102
20040217,16:00:00,6.599,6.785,6.511,6.679,34.75000052
20040217,20:00:00,6.722,6.762,6.624,6.689,1.550000023
20040218,0:00:00,6.753,6.827,6.588,6.715,12.05000018
20040218,4:00:00,6.756,6.842,6.621,6.81,15.30000023
20040218,8:00:00,6.672,6.846,6.586,6.784,16.35000024
20040218,12:00:00,6.756,6.858,6.501,6.681,73.9500011
20040218,16:00:00,6.623,6.747,6.422,6.615,49.45000074
20040218,20:00:00,6.596,6.612,6.453,6.519,2.300000034
20040219,0:00:00,6.514,6.727,6.454,6.601,9.250000138
20040219,4:00:00,6.584,6.674,6.477,6.538,7.050000105
20040219,8:00:00,6.609,6.664,6.437,6.598,15.70000023
20040219,12:00:00,6.498,6.734,6.382,6.588,67.150001
20040219,16:00:00,6.476,6.706,6.43,6.529,49.90000074
20040219,20:00:00,6.574,6.656,6.474,6.544,2.200000033
20040220,0:00:00,6.605,6.663,6.499,6.559,5.700000085
20040220,4:00:00,6.644,6.705,6.475,6.595,6.250000093
20040220,8:00:00,6.591,6.621,6.396,6.483,18.00000027
20040220,12:00:00,6.527,6.643,6.28,6.523,60.05000089
20040220,16:00:00,6.412,6.558,6.317,6.403,41.35000062
20040222,20:00:00,6.426,6.503,6.426,6.503,0.100000001
20040223,0:00:00,6.475,6.618,6.173,6.369,15.65000023
20040223,4:00:00,6.407,6.514,6.31,6.357,14.20000021
20040223,8:00:00,6.403,6.521,6.3,6.338,10.45000016
20040223,12:00:00,6.398,6.502,6.235,6.422,52.35000078
20040223,16:00:00,6.355,6.519,6.263,6.363,32.90000049
20040223,20:00:00,6.424,6.425,6.333,6.369,0.600000009
20040224,0:00:00,6.32,6.523,6.291,6.391,12.65000019
20040224,4:00:00,6.433,6.514,6.311,6.451,8.350000124
20040224,8:00:00,6.422,6.568,6.312,6.34,13.3000002
20040224,12:00:00,6.368,6.569,6.306,6.502,60.6000009
20040224,16:00:00,6.395,6.607,6.37,6.479,28.20000042
20040224,20:00:00,6.545,6.561,6.453,6.514,0.600000009
20040225,0:00:00,6.552,6.688,6.423,6.553,10.75000016
20040225,4:00:00,6.587,6.727,6.467,6.624,16.40000024
20040225,8:00:00,6.518,6.811,6.483,6.68,25.90000039
20040225,12:00:00,6.705,6.779,6.424,6.591,65.60000098
20040225,16:00:00,6.509,6.658,6.355,6.409,37.80000056
20040225,20:00:00,6.456,6.504,6.355,6.426,0.800000012
20040226,0:00:00,6.475,6.553,6.373,6.468,7.40000011
20040226,4:00:00,6.537,6.586,6.399,6.556,7.700000115
20040226,8:00:00,6.517,6.643,6.18,6.31,30.65000046
20040226,12:00:00,6.349,6.478,6.13,6.362,72.75000108
20040226,16:00:00,6.255,6.717,6.211,6.594,54.20000081
20040226,20:00:00,6.653,6.673,6.439,6.615,2.850000042
20040227,0:00:00,6.665,6.677,6.493,6.525,11.45000017
20040227,4:00:00,6.598,6.669,6.439,6.528,18.90000028
20040227,8:00:00,6.574,6.709,6.378,6.443,26.6000004
20040227,12:00:00,6.48,6.732,6.402,6.632,69.35000103
20040227,16:00:00,6.528,6.762,6.469,6.579,48.60000072
20040229,20:00:00,6.622,6.622,6.502,6.56,0.400000006
20040301,0:00:00,6.615,6.74,6.509,6.645,11.65000017
20040301,4:00:00,6.685,6.755,6.548,6.732,13.4500002
20040301,8:00:00,6.72,6.764,6.519,6.69,14.60000022
20040301,12:00:00,6.661,6.982,6.526,6.863,71.10000106
20040301,16:00:00,6.813,6.914,6.671,6.809,35.60000053
20040301,20:00:00,6.873,6.886,6.766,6.833,1.200000018
20040302,0:00:00,6.869,6.933,6.691,6.814,11.95000018
20040302,4:00:00,6.793,6.933,6.735,6.871,16.10000024
20040302,8:00:00,6.803,6.89,6.69,6.806,13.90000021
20040302,12:00:00,6.799,6.944,6.61,6.732,66.850001
20040302,16:00:00,6.638,6.773,6.5,6.589,48.80000073
20040302,20:00:00,6.66,6.678,6.539,6.539,2.500000037
20040303,0:00:00,6.585,6.731,6.519,6.651,12.25000018
20040303,4:00:00,6.635,6.732,6.487,6.579,16.90000025
20040303,8:00:00,6.56,6.688,6.429,6.542,21.50000032
20040303,12:00:00,6.545,6.85,6.335,6.667,74.85000112
20040303,16:00:00,6.579,6.722,6.461,6.624,49.70000074
20040303,20:00:00,6.685,6.723,6.596,6.655,2.050000031
20040304,0:00:00,6.705,6.738,6.533,6.621,13.4500002
20040304,4:00:00,6.662,6.772,6.542,6.669,16.85000025
20040304,8:00:00,6.699,6.829,6.521,6.79,19.15000029
